Date,Ticker,Headline,Description
2020-07-18,BDNCE,TikTok considers London and other locations for headquarters,"TikTok has been in discussions with the UK government over the past few months to locate its headquarters in London, a source familiar with the matter said, as part of a strategy to distance itself from its Chinese ownership."
2020-07-18,META,Disney cuts ad spending on Facebook amid growing boycott: WSJ,"Walt Disney  has become the latest company to slash its advertising spending on Facebook Inc  as the social media giant faces an ad boycott over its handling of hate speech and controversial content, the Wall Street Journal reported on Saturday, citing people familiar with the situation."
2020-07-18,DIS,Disney cuts ad spending on Facebook amid growing boycott: WSJ,"Walt Disney  has become the latest company to slash its advertising spending on Facebook Inc  as the social media giant faces an ad boycott over its handling of hate speech and controversial content, the Wall Street Journal reported on Saturday, citing people familiar with the situation."
2020-07-18,WRCDF,"Trail of missing Wirecard executive leads to Belarus, Der Spiegel reports","Former Wirecard  chief operating officer Jan Marsalek travelled to Minsk soon after he was suspended and may still be in Belarus or Russia, a German magazine reported on Saturday."
2020-07-18,TWTR,Twitter says attackers downloaded data from up to eight non-verified accounts,"Twitter Inc said on Saturday that hackers were able to download account information for up to eight accounts involved in the hack of its systems this week, but said none of them were verified accounts."
2020-07-17,GOOGL,Google bans ads on coronavirus conspiracy theory content,"Alphabet Inc's Google said on Friday it would prohibit websites and apps that use its advertising technology from running ads on ""dangerous content"" that goes against scientific consensus during the coronavirus pandemic."
2020-07-17,META,FTC considering deposing top Facebook executives in antitrust probe: WSJ,"The U.S. Federal Trade Commission is considering taking sworn testimony from Facebook Inc's  top executives Mark Zuckerberg and Sheryl Sandberg as a part of its probe into whether the company has engaged in unlawful monopolistic practices, the Wall Street Journal reported on Friday."
2020-07-17,TWTR,Twitter says about 130 accounts were targeted in cyber attack this week,"Twitter Inc disclosed late on Thursday that hackers targeted about 130 accounts during the cyber attack this week, an incident in which profiles of many prominent personalities and organizations were compromised."
2020-07-17,TWTR,Senator asks Twitter about claim worker was paid to help with hack,"Senator Josh Hawley, a Republican who closely follows tech issues, pressed Twitter Chief Executive Jack Dorsey on Friday on whether a company employee had been paid to assist with a hack of high-profile accounts this week aimed at scamming readers."
2020-07-17,WRCDF,Rival parties take aim at Germany's Scholz over Wirecard scandal,Germany's Social Democrat Finance Minister Olaf Scholz is facing calls from rival parties to account for the regulatory failures that led to the collapse of Wirecard after it emerged he knew of concerns about the company 18 months ago.
2020-07-17,T,"In Utah, a debate stirs over Estonian radioactive waste",(This July 16 story has been refiled to fix spelling of 'whether' in paragraph 2)
2020-07-17,BA,End of the jumbo: British Airways retires 747 early due to coronavirus crisis,"British Airways, the world's largest operator of Boeing 747s, will retire its entire jumbo jet fleet with immediate effect after the COVID-19 pandemic sent air travel into freefall."
2020-07-17,MS,"UBS, Morgan Stanley expected to lead Vodafone Tower IPO: sources","UBS  and Morgan Stanley  are expected to organise the lucrative listing of Vodafone's European towers unit - a deal that could value the entire business at up to 16 billion euros ($18 billion), sources familiar with the matter said."
2020-07-17,DIS,Wall Street analysts look past Netflix's weak subscriber forecast,"Wall Street analysts shrugged off Netflix Inc's  weak third-quarter subscriber forecast, as it racked up a record number of users in the first half of the year, allaying worries about competition from new players such as Disney+ and HBO MAX."
2020-07-17,NFLX,Wall Street analysts look past Netflix's weak subscriber forecast,"Wall Street analysts shrugged off Netflix Inc's  weak third-quarter subscriber forecast, as it racked up a record number of users in the first half of the year, allaying worries about competition from new players such as Disney+ and HBO MAX."
2020-07-17,WRCDF,Stripe wins business following Wirecard's collapse,"The U.S. payments company Stripe is picking up some former Wirecard  customers, an executive told Reuters."
2020-07-17,WRCDF,Deutsche Boerse proposes new rules for quick DAX expulsion in wake of Wirecard,"In the wake of the Wirecard  accounting scandal, exchange operator Deutsche Boerse  said on Friday it was proposing rules to enable it to quickly expel companies from the leading DAX index when those firms file for insolvency."
2020-07-16,NFLX,"Netflix names content chief Ted Sarandos co-CEO, forecasts weaker growth","Netflix Inc  on Thursday elevated its content chief Ted Sarandos to co-CEO, making the 20-year veteran of the pioneering streaming video service a clear successor to co-founder Reed Hastings."
2020-07-16,TWTR,Twitter stepped up search to fill top security job ahead of hack,"Twitter Inc  had stepped up its search for a chief information security officer in recent weeks, two people familiar with the effort told Reuters, before the breach of high-profile accounts on Wednesday raised alarms about the platform's security."
2020-07-16,TWTR,"Before hack tore through Twitter, online forum offered accounts for sale","Before a hacking campaign tore through Twitter and compromised some of its most high-profile users, an ad went up on a gray market site that facilitates the trade of user accounts for many popular websites including Twitter."
2020-07-16,MSFT,Microsoft trims jobs as it enters new fiscal year,Microsoft Corp said on Thursday it had trimmed its workforce across geographies and teams as it entered a new fiscal year from July 1.
2020-07-16,C,California blames PG&E for Kincade wildfire in wine country,"The Kincade wildfire in California's wine country last October that forced some 2,000 people to flee homes was caused by PG&E Corp's electrical transmission lines, the state's Department of Forestry and Fire Protection (Cal Fire) said on Thursday."
2020-07-16,WRCDF,"Jailed executive in Wirecard scandal offers confession, lawyer says","The former head of a key subsidiary of Wirecard, who was arrested earlier this month, has admitted wrongdoing to prosecutors for his role in a multi-billion-euros fraud, his lawyer said on Thursday."
2020-07-16,MSFT,"Wall Street ends lower on COVID-19 worries, tech weighs","The S&P 500 dropped on Thursday, pulled lower by Microsoft Corp  and Apple Inc , as elevated levels of unemployment claims heightened concerns about the economic toll from rising coronavirus cases."
2020-07-16,AAPL,"Wall Street ends lower on COVID-19 worries, tech weighs","The S&P 500 dropped on Thursday, pulled lower by Microsoft Corp  and Apple Inc , as elevated levels of unemployment claims heightened concerns about the economic toll from rising coronavirus cases."
2020-07-16,TWTR,"Exclusive: U.S. FBI is leading an inquiry into the Twitter hack, sources say","The U.S. Federal Bureau of Investigation is leading a federal inquiry into the Twitter hacking, two sources familiar with the situation said, after hackers seized control of accounts belonging to Joe Biden, Kim Kardashian and others in what appeared to be a bitcoin scam."
2020-07-16,TWTR,Twitter delays launch of new API software following hack,Twitter Inc  said on Thursday it is delaying the launch of its new Application Programming Interface (API) following the recent hack of several high-profile accounts.
2020-07-16,API,Twitter delays launch of new API software following hack,Twitter Inc  said on Thursday it is delaying the launch of its new Application Programming Interface (API) following the recent hack of several high-profile accounts.
2020-07-16,TWTR,Focus falls on bitcoin trail in race to identify Twitter hackers,"Hackers who targeted some of Twitter's top users to reap bitcoin worth $120,000 have likely left digital footprints that could offer clues for law enforcement agencies investigating the attack, three blockchain analysis companies told Reuters."
2020-07-16,TWTR,Senate Republican asks Twitter for urgent briefing on hacking incident,The chairman of the Senate Commerce Committee asked Twitter Inc  to brief committee staff by next week on the hacking of high-profile accounts on Wednesday.
2020-07-16,TWTR,"Trump will remain on Twitter, his account secure: White House","U.S. President Donald Trump will not stop using Twitter and his account was secure during a hack of the social media platform, a White House spokeswoman said on Thursday."
2020-07-16,TWTR,FBI says it is investigating hack of high-profile Twitter accounts,"The FBI's San Francisco office said on Thursday it has launched an investigation after hackers accessed Twitter's  internal systems to hijack accounts for high-profile people such as U.S. presidential candidate Joe Biden, reality TV star Kim Kardashian, former U.S. President Barack Obama and billionaire Elon Musk and used them to solicit digital currency."
2020-07-16,BDNCE,"TikTok expected to operate as a U.S. company, White House adviser says",A top White House adviser said on Thursday that he expects TikTok to separate from its Chinese owner and operate as an American company amid growing U.S. concerns about the security of the data handled by the short video app.
2020-07-16,TWTR,"U.S. Senator Warner asks for probe of hacks, better monitoring of high-risk accounts","U.S. Senator Mark Warner called on Thursday for Twitter Inc to investigate how hackers gained access to the social media company's internal systems to hijack accounts of several politicians, billionaires, celebrities and companies, and to put more resources into protecting high-profile feeds."
2020-07-16,DIS,"Attorney General Barr accuses Hollywood, Big Tech of collaborating with China","U.S. Attorney General William Barr took aim at Hollywood companies, including Walt Disney Co  on Thursday as well as large technology firms like Apple, Alphabet's Google and Microsoft Corp over company actions with China."
